ref_path,ref_name,error
/Users/presleydobson/Easy-Read-Online Dropbox/Presley Dobson/Photos png/Map of Israel and Palestine.png,Map of Israel and Palestine.png,"Image size (339255540 pixels) exceeds limit of 178956970 pixels, could be decompression bomb DOS attack."
/Users/presleydobson/Easy-Read-Online Dropbox/Presley Dobson/Photos png/Consultation-1_1024x1024.png,Consultation-1_1024x1024.png,cannot identify image file '/Users/presleydobson/Easy-Read-Online Dropbox/Presley Dobson/Photos png/Consultation-1_1024x1024.png'
